source;target;label;type;obs
FIS-26;FIS-14;autores;undirected;NUSSENZVEIG, H. M.;
HUM-21;HUM-20;autores;undirected;PONTES, V.;
HUM-21;HUM-20;autores;undirected;MEIRELLES, H.L.;
HUM-21;HUM-20;autores;undirected;FRANCA, R.L.;
HUM-21;HUM-20;autores;undirected;NASCIMENTO, A.M.;
HUM-21;HUM-20;autores;undirected;COTRIM, G.;
HUM-74;HUM-58;autores;undirected;LUCKESI, C. C.;
MAT-17;MAT-12;autores;undirected;BOULOS, P.;
MAT-22;MAT-12;autores;undirected;APOSTOL, T.M.;
MAT-22;MAT-12;autores;undirected;SIMMONS, G.F.;
MAT-36;MAT-12;autores;undirected;GUIDORIZZI, H. L.;
QUI-28;QUI-18;autores;undirected;PAULA, J.;
QUI-28;QUI-18;autores;undirected;ATKINS, P.;
AED-11;AED-01;autores;undirected;ANDERSON, J.D.;
AED-25;AED-01;autores;undirected;ANDERSON, J.D.;
AED-25;AED-11;autores;undirected;ANDERSON, J.D.;
AED-27;AED-01;autores;undirected;ANDERSON, J.D.;
AED-27;AED-11;autores;undirected;ANDERSON, J.D.;
AED-27;AED-11;autores;undirected;TRUCKENBRODT, E.;
AED-27;AED-11;autores;undirected;SCHLICHTING, H.;
AED-27;AED-25;autores;undirected;ANDERSON, J.D.;
AED-37;AED-34;autores;undirected;ROSKAM, J.;
MVO-31;AED-01;autores;undirected;ANDERSON, J.D.;
MVO-31;AED-11;autores;undirected;ANDERSON, J.D.;
MVO-31;AED-25;autores;undirected;ANDERSON, J.D.;
MVO-31;AED-27;autores;undirected;ANDERSON, J.D.;
MVO-52;MVO-41;autores;undirected;WIESEL, W.E.;
MVO-53;MVO-41;autores;undirected;WIESEL, W.E.;
MVO-53;MVO-52;autores;undirected;SIDI, M.;
MVO-53;MVO-52;autores;undirected;WIESEL, W.E.;
MVO-53;MVO-52;autores;undirected;WIE, B.;
MVO-66;MVO-50;autores;undirected;KIMBERLIN, R.D.;
MVO-66;MVO-50;autores;undirected;MCCORMICK, B.W.;
PRP-38;PRP-11;autores;undirected;SUTTON, G. P.;
PRP-38;PRP-28;autores;undirected;PETERSON, C.;
PRP-38;PRP-28;autores;undirected;HILL, P.;
PRP-39;PRP-11;autores;undirected;SUTTON, G. P.;
PRP-39;PRP-38;autores;undirected;BIBLARZ, O.;
PRP-39;PRP-38;autores;undirected;SUTTON, G. P.;
PRP-40;PRP-28;autores;undirected;HILL, P.;
PRP-40;PRP-28;autores;undirected;PETERSON, C.;
PRP-40;PRP-38;autores;undirected;HILL, P.;
PRP-40;PRP-38;autores;undirected;PETERSON, C.;
PRP-40;PRP-38;autores;undirected;OATES, G.;
PRP-41;PRP-38;autores;undirected;OATES, G.;
PRP-41;PRP-40;autores;undirected;OATES, G.;
PRP-47;PRP-11;autores;undirected;SUTTON, G. P.;
PRP-47;PRP-38;autores;undirected;BIBLARZ, O.;
PRP-47;PRP-38;autores;undirected;SUTTON, G. P.;
PRP-47;PRP-39;autores;undirected;BIBLARZ, O.;
PRP-47;PRP-39;autores;undirected;SUTTON, G. P.;
PRP-54;PRP-28;autores;undirected;HILL, P.;
PRP-54;PRP-28;autores;undirected;PETERSON, C.;
PRP-54;PRP-38;autores;undirected;HILL, P.;
PRP-54;PRP-38;autores;undirected;PETERSON, C.;
PRP-54;PRP-38;autores;undirected;OATES, G.;
PRP-54;PRP-40;autores;undirected;STRAZNICKY, P.V.;
PRP-54;PRP-40;autores;undirected;COHEN, H.;
PRP-54;PRP-40;autores;undirected;ROGERS, G.F.C.;
PRP-54;PRP-40;autores;undirected;HILL, P.;
PRP-54;PRP-40;autores;undirected;SARAVANAMUTTOO, H.I.H.;
PRP-54;PRP-40;autores;undirected;PETERSON, C.;
PRP-54;PRP-40;autores;undirected;OATES, G.;
PRP-54;PRP-41;autores;undirected;OATES, G.;
EST-10;FIS-14;autores;undirected;HIBBELER, R.C.;
EST-24;EST-15;autores;undirected;HAISLER, W. E.;
EST-24;EST-15;autores;undirected;ALLEN, D. H.;
EST-31;EST-15;autores;undirected;CHAJES, A.;
EST-35;EST-25;autores;undirected;BRUHN, E. F.;
EST-43;EST-15;autores;undirected;CHAJES, A.;
EST-43;EST-25;autores;undirected;BRUHN, E. F.;
EST-43;EST-31;autores;undirected;CHAJES, A.;
EST-43;EST-35;autores;undirected;BRUHN, E. F.;
EST-65;EST-15;autores;undirected;CHAJES, A.;
EST-65;EST-31;autores;undirected;CHAJES, A.;
EST-65;EST-43;autores;undirected;CHAJES, A.;
PRJ-22;AED-34;autores;undirected;TORENBEEK, E.;
PRJ-22;AED-34;autores;undirected;ROSKAM, J.;
PRJ-22;AED-37;autores;undirected;ROSKAM, J.;
PRJ-23;AED-34;autores;undirected;ROSKAM, J.;
PRJ-23;AED-37;autores;undirected;RAYMER, D.P.;
PRJ-23;AED-37;autores;undirected;ROSKAM, J.;
PRJ-23;PRJ-22;autores;undirected;ROSKAM, J.;
PRJ-29;AED-34;autores;undirected;ROSKAM, J.;
PRJ-29;AED-37;autores;undirected;RAYMER, D.P.;
PRJ-29;AED-37;autores;undirected;ROSKAM, J.;
PRJ-29;PRJ-22;autores;undirected;ROSKAM, J.;
PRJ-29;PRJ-23;autores;undirected;RAYMER, D.P.;
PRJ-29;PRJ-23;autores;undirected;ROSKAM, J.;
PRJ-30;AED-34;autores;undirected;ROSKAM, J.;
PRJ-30;AED-37;autores;undirected;RAYMER, D.P.;
PRJ-30;AED-37;autores;undirected;ROSKAM, J.;
PRJ-30;PRJ-22;autores;undirected;ROSKAM, J.;
PRJ-30;PRJ-23;autores;undirected;RAYMER, D.P.;
PRJ-30;PRJ-23;autores;undirected;ROSKAM, J.;
PRJ-30;PRJ-29;autores;undirected;JENKINSON, L.R.;
PRJ-30;PRJ-29;autores;undirected;RHODES, D.;
PRJ-30;PRJ-29;autores;undirected;SIMKIN, P.;
PRJ-30;PRJ-29;autores;undirected;RAYMER, D.P.;
PRJ-30;PRJ-29;autores;undirected;ROSKAM, J.;
PRJ-32;PRP-11;autores;undirected;SUTTON, G. P.;
PRJ-32;PRP-38;autores;undirected;SUTTON, G. P.;
PRJ-32;PRP-39;autores;undirected;SUTTON, G. P.;
PRJ-32;PRP-47;autores;undirected;SUTTON, G. P.;
PRJ-44;AED-34;autores;undirected;ROSKAM, J.;
PRJ-44;AED-37;autores;undirected;ROSKAM, J.;
PRJ-44;PRJ-22;autores;undirected;ROSKAM, J.;
PRJ-44;PRJ-23;autores;undirected;ROSKAM, J.;
PRJ-44;PRJ-29;autores;undirected;ROSKAM, J.;
PRJ-44;PRJ-30;autores;undirected;ROSKAM, J.;
PRJ-55;AED-34;autores;undirected;STINTON, D.;
PRJ-55;AED-37;autores;undirected;RAYMER, D.P.;
PRJ-55;PRJ-23;autores;undirected;RAYMER, D.P.;
PRJ-55;PRJ-29;autores;undirected;RAYMER, D.P.;
PRJ-55;PRJ-30;autores;undirected;RAYMER, D.P.;
PRJ-57;AED-01;autores;undirected;ANDERSON, J.D.;
PRJ-57;AED-11;autores;undirected;ANDERSON, J.D.;
PRJ-57;AED-25;autores;undirected;ANDERSON, J.D.;
PRJ-57;AED-27;autores;undirected;ANDERSON, J.D.;
PRJ-57;MVO-31;autores;undirected;ANDERSON, J.D.;
PRJ-73;PRP-38;autores;undirected;BIBLARZ, O.;
PRJ-73;PRP-39;autores;undirected;BIBLARZ, O.;
PRJ-73;PRP-47;autores;undirected;BIBLARZ, O.;
PRJ-75;PRP-38;autores;undirected;BIBLARZ, O.;
PRJ-75;PRP-39;autores;undirected;BIBLARZ, O.;
PRJ-75;PRP-47;autores;undirected;BIBLARZ, O.;
PRJ-75;PRJ-73;autores;undirected;BIBLARZ, O.;
PRJ-75;PRJ-73;autores;undirected;SUTTON, G.P.;
ASP-06;PRJ-73;autores;undirected;WERTZ, J.R.;
ASP-04;PRJ-73;autores;undirected;WERTZ, J.R.;
ASP-04;ASP-06;autores;undirected;WILEY, J.L.;
ASP-04;ASP-06;autores;undirected;WERTZ, J.R.;
EES-60;ASE-10;autores;undirected;MERHAV, S.;
EES-60;ASE-10;autores;undirected;FARRELL, J.A.;
EES-60;ASE-10;autores;undirected;LAWRENCE, A.;
EES-60;ASE-10;autores;undirected;BARTH, M.;
EEA-46;EEA-45;autores;undirected;SMITH, K.C.;
EEA-46;EEA-45;autores;undirected;SEDRA, A.S.;
ELE-26;ASE-10;autores;undirected;BARTH, M.;
ELE-26;EES-60;autores;undirected;BARTH, M.;
ELE-59;EEA-45;autores;undirected;SMITH, K.C.;
ELE-59;EEA-45;autores;undirected;SEDRA, A.S.;
ELE-59;EEA-46;autores;undirected;SMITH, K.C.;
ELE-59;EEA-46;autores;undirected;SEDRA, A.S.;
EEM-10;EEM-09;autores;undirected;COLLIN, R.E.;
EEM-11;EEM-09;autores;undirected;RAMO, S.;
EEM-11;EEM-10;autores;undirected;BALANIS, C. A.;
EEM-12;EEM-09;autores;undirected;RAMO, S.;
EEM-12;EEM-09;autores;undirected;COLLIN, R.E.;
EEM-12;EEM-09;autores;undirected;POZAR, D. M.;
EEM-12;EEM-10;autores;undirected;COLLIN, R.E.;
EEM-12;EEM-11;autores;undirected;RAMO, S.;
EEM-13;EEM-09;autores;undirected;COLLIN, R.E.;
EEM-13;EEM-09;autores;undirected;POZAR, D. M.;
EEM-13;EEM-10;autores;undirected;COLLIN, R.E.;
EEM-13;EEM-12;autores;undirected;COLLIN, R.E.;
EEM-13;EEM-12;autores;undirected;POZAR, D. M.;
EEM-14;EEM-09;autores;undirected;COLLIN, R.E.;
EEM-14;EEM-10;autores;undirected;THIELE, G.A.;
EEM-14;EEM-10;autores;undirected;COLLIN, R.E.;
EEM-14;EEM-10;autores;undirected;STUTZMAN, W.L.;
EEM-14;EEM-10;autores;undirected;BALANIS, C. A.;
EEM-14;EEM-11;autores;undirected;BALANIS, C. A.;
EEM-14;EEM-12;autores;undirected;COLLIN, R.E.;
EEM-14;EEM-13;autores;undirected;COLLIN, R.E.;
EEM-17;EEM-13;autores;undirected;PAL, B. P.;
EEM-17;EEM-13;autores;undirected;MAREK, S.;
EEM-17;EEM-13;autores;undirected;WARTAK, K.;
ELE-12;EEM-09;autores;undirected;COLLIN, R.E.;
ELE-12;EEM-09;autores;undirected;POZAR, D. M.;
ELE-12;EEM-10;autores;undirected;COLLIN, R.E.;
ELE-12;EEM-12;autores;undirected;COLLIN, R.E.;
