source;target;label
FIS-26;FIS-14;requisito;
FIS-32;FIS-14;requisito;
FIS-46;FIS-26;requisito;
FIS-55;MAT-36;requisito;
HUM-32;HUM-01;requisito;
HUM-73;HUM-61;requisito;
MAT-22;MAT-12;requisito;
MAT-27;MAT-17;requisito;
MAT-32;MAT-27;requisito;
MAT-36;MAT-22;requisito;
MAT-42;MAT-32;requisito;
MAT-46;MAT-36;requisito;
MAT-51;MAT-32;requisito;
QUI-28;QUI-18;requisito;
AED-11;AED-01;requisito;
AED-25;AED-11;requisito;
AED-27;AED-11;requisito;
AED-37;AED-11;requisito;
MVO-31;AED-11;requisito;
MVO-32;MVO-20;requisito;
MVO-50;PRP-38;requisito;
MVO-52;MVO-20;requisito;
MVO-53;MVO-52;requisito;
PRP-11;AED-02;requisito;
PRP-28;MEB-01;requisito;
PRP-38;AED-01;requisito;
PRP-39;PRP-28;requisito;
PRP-39;AED-01;requisito;
PRP-39;PRP-38;requisito;
PRP-40;PRP-28;requisito;
PRP-41;PRP-28;requisito;
PRP-41;AED-01;requisito;
PRP-41;PRP-38;requisito;
PRP-47;PRP-38;requisito;
PRP-52;PRP-20;requisito;
PRP-54;PRP-20;requisito;
PRP-56;PRP-20;requisito;
EST-15;EST-10;requisito;
EST-24;EST-10;requisito;
EST-25;EST-25;requisito;
EST-31;EST-24;requisito;
EST-35;EST-15;requisito;
EST-65;EST-15;requisito;
PRJ-23;PRJ-22;requisito;
PRJ-55;PRJ-02;requisito;
PRJ-57;AED-22;requisito;
PRJ-60;EST-22;requisito;
PRJ-73;PRJ-02;requisito;
PRJ-75;PRJ-72;requisito;
SIS-06;MOQ-13;requisito;
ASE-10;EES-51;requisito;
EES-60;EES-20;requisito;
EES-60;EES-49;requisito;
AER-30;AER-20;requisito;
EEA-02;FIS-46;requisito;
EEA-02;MAT-32;requisito;
EEA-05;EEA-02;requisito;
EEA-25;EEA-21;requisito;
EEA-27;EEA-25;requisito;
EEA-45;FIS-32;requisito;
EEA-46;EEA-45;requisito;
EEA-47;EEA-46;requisito;
EEA-48;EEA-46;requisito;
EEA-52;EEA-21;requisito;
EEA-52;EEA-46;requisito;
EEA-91;FIS-32;requisito;
ELE-16;FIS-45;requisito;
ELE-26;ELE-16;requisito;
ELE-27;ELE-16;requisito;
ELE-59;EEA-45;requisito;
EEM-09;EEM-08;requisito;
EEM-10;EEM-07;requisito;
EEM-11;FIS-45;requisito;
EEM-12;EEM-11;requisito;
EEM-13;EEM-12;requisito;
EEM-14;EEM-11;requisito;
EEM-17;EEM-13;requisito;
ELE-12;FIS-45;requisito;
EES-10;FIS-46;requisito;
EES-10;MAT-32;requisito;
EES-20;EES-10;requisito;
EES-25;EES-20;requisito;
EES-30;EES-10;requisito;
EES-35;EES-30;requisito;
EES-60;EES-20;requisito;
EES-90;EES-10;requisito;
