source;target;label;type;obs
FIS-26;FIS-14;requisito;undirected;
FIS-32;FIS-14;requisito;undirected;
FIS-46;FIS-26;requisito;undirected;
FIS-55;MAT-36;requisito;undirected;
HUM-32;HUM-01;requisito;undirected;
HUM-73;HUM-61;requisito;undirected;
MAT-22;MAT-12;requisito;undirected;
MAT-27;MAT-17;requisito;undirected;
MAT-32;MAT-27;requisito;undirected;
MAT-36;MAT-22;requisito;undirected;
MAT-42;MAT-32;requisito;undirected;
MAT-46;MAT-36;requisito;undirected;
MAT-51;MAT-32;requisito;undirected;
QUI-28;QUI-18;requisito;undirected;
AED-11;AED-01;requisito;undirected;
AED-25;AED-11;requisito;undirected;
AED-27;AED-11;requisito;undirected;
AED-37;AED-11;requisito;undirected;
MVO-31;AED-11;requisito;undirected;
MVO-32;MVO-20;requisito;undirected;
MVO-50;PRP-38;requisito;undirected;
MVO-52;MVO-20;requisito;undirected;
MVO-53;MVO-52;requisito;undirected;
PRP-11;AED-02;requisito;undirected;
PRP-28;MEB-01;requisito;undirected;
PRP-38;AED-01;requisito;undirected;
PRP-39;PRP-28;requisito;undirected;
PRP-39;AED-01;requisito;undirected;
PRP-39;PRP-38;requisito;undirected;
PRP-40;PRP-28;requisito;undirected;
PRP-41;PRP-28;requisito;undirected;
PRP-41;AED-01;requisito;undirected;
PRP-41;PRP-38;requisito;undirected;
PRP-47;PRP-38;requisito;undirected;
PRP-52;PRP-20;requisito;undirected;
PRP-54;PRP-20;requisito;undirected;
PRP-56;PRP-20;requisito;undirected;
EST-15;EST-10;requisito;undirected;
EST-24;EST-10;requisito;undirected;
EST-25;EST-25;requisito;undirected;
EST-31;EST-24;requisito;undirected;
EST-35;EST-15;requisito;undirected;
EST-65;EST-15;requisito;undirected;
PRJ-23;PRJ-22;requisito;undirected;
PRJ-55;PRJ-02;requisito;undirected;
PRJ-57;AED-22;requisito;undirected;
PRJ-60;EST-22;requisito;undirected;
PRJ-73;PRJ-02;requisito;undirected;
PRJ-75;PRJ-72;requisito;undirected;
SIS-06;MOQ-13;requisito;undirected;
ASE-10;EES-51;requisito;undirected;
EES-60;EES-20;requisito;undirected;
EES-60;EES-49;requisito;undirected;
AER-30;AER-20;requisito;undirected;
EEA-02;FIS-46;requisito;undirected;
EEA-02;MAT-32;requisito;undirected;
EEA-05;EEA-02;requisito;undirected;
EEA-25;EEA-21;requisito;undirected;
EEA-27;EEA-25;requisito;undirected;
EEA-45;FIS-32;requisito;undirected;
EEA-46;EEA-45;requisito;undirected;
EEA-47;EEA-46;requisito;undirected;
EEA-48;EEA-46;requisito;undirected;
EEA-52;EEA-21;requisito;undirected;
EEA-52;EEA-46;requisito;undirected;
EEA-91;FIS-32;requisito;undirected;
ELE-16;FIS-45;requisito;undirected;
ELE-26;ELE-16;requisito;undirected;
ELE-27;ELE-16;requisito;undirected;
ELE-59;EEA-45;requisito;undirected;
EEM-09;EEM-08;requisito;undirected;
EEM-10;EEM-07;requisito;undirected;
EEM-11;FIS-45;requisito;undirected;
EEM-12;EEM-11;requisito;undirected;
EEM-13;EEM-12;requisito;undirected;
EEM-14;EEM-11;requisito;undirected;
EEM-17;EEM-13;requisito;undirected;
ELE-12;FIS-45;requisito;undirected;
EES-10;FIS-46;requisito;undirected;
EES-10;MAT-32;requisito;undirected;
EES-20;EES-10;requisito;undirected;
EES-25;EES-20;requisito;undirected;
EES-30;EES-10;requisito;undirected;
EES-35;EES-30;requisito;undirected;
EES-60;EES-20;requisito;undirected;
EES-90;EES-10;requisito;undirected;
ELE-18;FIS-45;requisito;undirected;
EET-01;MAT-32;requisito;undirected;
EET-01;MAT-42;requisito;undirected;
EET-01;MAT-46;requisito;undirected;
EET-41;EES-10;requisito;undirected;
EET-41;MOQ-13;requisito;undirected;
EET-41;EET-01;requisito;undirected;
EET-46;EET-40;requisito;undirected;
EET-50;EET-01;requisito;undirected;
EET-50;EET-41;requisito;undirected;
EET-61;EET-41;requisito;undirected;
EET-61;EET-50;requisito;undirected;
EET-62;EET-41;requisito;undirected;
EET-62;EET-50;requisito;undirected;
ELE-32;MAT-42;requisito;undirected;
ELE-32;MOQ-13;requisito;undirected;
MOQ-13;MAT-12;requisito;undirected;
MOQ-14;MOQ-13;requisito;undirected;
MOQ-15;MOQ-13;requisito;undirected;
MEB-01;MAT-32;requisito;undirected;
MEB-01;MAT-36;requisito;undirected;
MEB-13;MEB-01;requisito;undirected;
MEB-14;MEB-01;requisito;undirected;
MEB-25;MAT-41;requisito;undirected;
MEB-26;MAT-42;requisito;undirected;
MMT-01;MEB-13;requisito;undirected;
MMT-02;MMT-01;requisito;undirected;
MMT-05;MEB-01;requisito;undirected;
MMT-06;MEB-12;requisito;undirected;
MMT-06;MEB-25;requisito;undirected;
MMT-07;MMT-01;requisito;undirected;
MMT-07;MEB-13;requisito;undirected;
MMT-07;MEB-25;requisito;undirected;
MES-52;MEB-13;requisito;undirected;
MPD-11;FIS-26;requisito;undirected;
MPD-42;FIS-26;requisito;undirected;
MPD-43;MPS-36;requisito;undirected;
MPG-04;MPG-03;requisito;undirected;
MPP-22;MPD-11;requisito;undirected;
MTM-15;QUI-18;requisito;undirected;
MTM-25;MTM-15;requisito;undirected;
MTM-30;QUI-18;requisito;undirected;
MTM-30;MTM-15;requisito;undirected;
MTM-32;MTM-25;requisito;undirected;
MTM-35;QUI-18;requisito;undirected;
MTP-02;MPG-04;requisito;undirected;
MTP-34;MTM-25;requisito;undirected;
MTP-45;MTP-34;requisito;undirected;
MTP-46;MTP-34;requisito;undirected;
MTP-47;MTP-45;requisito;undirected;
MPS-22;MAT-42;requisito;undirected;
MPS-36;MPS-22;requisito;undirected;
MPS-39;ELE-16;requisito;undirected;
MPS-43;MPS-36;requisito;undirected;
MPS-46;MPS-43;requisito;undirected;
MPS-46;MPS-39;requisito;undirected;
EDI-31;EST-10;requisito;undirected;
EDI-32;EDI-31;requisito;undirected;
EDI-33;QUI-28;requisito;undirected;
EDI-34;FIS-32;requisito;undirected;
EDI-34;EDI-64;requisito;undirected;
EDI-37;CCI-22;requisito;undirected;
