source;target;label;type;obs
FIS-50;FIS-46;topicos;undirected;
HUM-21;HUM-20;topicos;undirected;
HUM-41;HUM-40;topicos;undirected;
HUM-82;HUM-22;topicos;undirected;
HUM-82;HUM-23;topicos;undirected;
MAT-22;MAT-12;topicos;undirected;
MAT-27;MAT-17;topicos;undirected;
MAT-42;MAT-32;topicos;undirected;
MAT-46;MAT-12;topicos;undirected;
AED-25;AED-01;topicos;undirected;
AED-27;AED-11;topicos;undirected;
AED-27;AED-25;topicos;undirected;
MVO-32;MVO-20;topicos;undirected;
MVO-53;MVO-52;topicos;undirected;
PRP-28;AED-01;topicos;undirected;
PRP-40;PRP-38;topicos;undirected;
PRP-41;PRP-38;topicos;undirected;
PRP-41;PRP-40;topicos;undirected;
PRP-47;PRP-41;topicos;undirected;
PRP-52;PRP-41;topicos;undirected;
PRP-56;PRP-38;topicos;undirected;
PRP-56;PRP-40;topicos;undirected;
PRP-56;PRP-41;topicos;undirected;
EST-24;EST-15;topicos;undirected;
EST-43;EST-15;topicos;undirected;
PRJ-30;AED-37;topicos;undirected;
PRJ-30;PRP-41;topicos;undirected;
PRJ-30;PRJ-22;topicos;undirected;
PRJ-30;PRJ-29;topicos;undirected;
PRJ-44;AED-37;topicos;undirected;
PRJ-44;PRJ-22;topicos;undirected;
PRJ-44;PRJ-29;topicos;undirected;
PRJ-44;PRJ-30;topicos;undirected;
PRJ-73;PRJ-30;topicos;undirected;
PRJ-85;PRJ-60;topicos;undirected;
PRJ-87;PRP-41;topicos;undirected;
PRJ-87;PRJ-23;topicos;undirected;
SIS-04;MVO-65;topicos;undirected;
SIS-04;PRJ-30;topicos;undirected;
SIS-04;PRJ-44;topicos;undirected;
ASE-10;MVO-52;topicos;undirected;
ASE-10;MVO-53;topicos;undirected;
ASP-06;FIS-32;topicos;undirected;
ASP-06;PRJ-73;topicos;undirected;
ASP-17;PRJ-30;topicos;undirected;
EES-60;ASE-10;topicos;undirected;
EEA-02;MAT-32;topicos;undirected;
EEA-21;EEA-02;topicos;undirected;
ELE-16;EEA-45;topicos;undirected;
ELE-16;EEA-46;topicos;undirected;
ELE-16;EEA-47;topicos;undirected;
ELE-27;EEA-47;topicos;undirected;
